Type,GitBook Path,Cookbook Path,Status
missing_in_cookbook,tutorials/fine-tuning/direct-preference-optimization-dpo.md,,
missing_in_cookbook,tutorials/fine-tuning/group-relative-policy-optimization-grpo.md,,
missing_in_cookbook,tutorials/fine-tuning/supervised-fine-tuning-sft.md,,
missing_in_cookbook,tutorials/generation/compressor.md,,
missing_in_cookbook,tutorials/generation/migration-guide/gllm-generation-v0.5-to-v0.6.md,,
missing_in_cookbook,tutorials/generation/reference-formatter.md,,
missing_in_cookbook,tutorials/inference/migration-guide/gllm-inference-v0.4-to-v0.5.md,,
missing_in_cookbook,tutorials/inference/migration-guide/gllm-inference-v0.5-to-v0.6.md,,
missing_in_cookbook,tutorials/inference/troubleshooting-guide.md,,
missing_in_cookbook,tutorials/knowledge-graph/graph-data-store.md,,
matched,tutorials/data-store.md,tutorials/data_store/basic_usage/,SYNCED
matched,tutorials/data-store/batching.md,tutorials/data_store/batching/,SYNCED
matched,tutorials/data-store/cache.md,tutorials/data_store/cache/,SYNCED
matched,tutorials/data-store/encryption.md,tutorials/data_store/encryption/,SYNCED
matched,tutorials/data-store/query-filter.md,tutorials/data_store/query_filter/,SYNCED
matched,tutorials/data-store/key-value-store.md,tutorials/data_store/key_value_store/,SYNCED
matched,tutorials/data-store/legacy/vector-data-store/quickstart-with-vector-data-store.md,tutorials/data_store/legacy_data_store/,SYNCED
matched,tutorials/data-store/legacy/vector-data-store/using-vector-data-store-as-a-cache.md,tutorials/data_store/legacy_data_store/,SYNCED
missing_in_cookbook,tutorials/data-store/legacy/sql-data-store/quickstart-with-sql-data-store.md,,BLOCKED_ON_INFRA
skip,tutorials/data-store/supported-datastores.md,,RESOURCE_PAGE
missing_in_cookbook,tutorials/knowledge-graph/graph-retriever.md,,
missing_in_cookbook,tutorials/knowledge-graph/text-to-graph.md,,
missing_in_cookbook,tutorials/memory/chat-history-manager.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/add-memory.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/delete-memories.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/delete-memory-by-user-query.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/init-memory.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/list-memories.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/overview.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/search-memory.md,,
missing_in_cookbook,tutorials/memory/long-term-memory/update-memory.md,,
missing_in_cookbook,tutorials/multimodality/modality-converter/audio-to-text-converter.md,,
missing_in_cookbook,tutorials/multimodality/modality-converter/image-to-text-converter/image-to-caption.md,,
missing_in_cookbook,tutorials/multimodality/modality-converter/image-to-text-converter/image-to-mermaid.md,,
missing_in_cookbook,tutorials/multimodality/modality-converter/video-to-text-converter/hybrid-video-to-caption.md,,
missing_in_cookbook,tutorials/multimodality/modality-converter/video-to-text-converter/lm-based-video-to-caption.md,,
missing_in_cookbook,tutorials/multimodality/modality-transformer/image-modality-transformer/generic-image-modality-transformer.md,,
missing_in_cookbook,tutorials/multimodality/modality-transformer/image-modality-transformer/standard-image-modality-transformer.md,,
missing_in_cookbook,tutorials/multimodality/multimodal-fundamentals.md,,
missing_in_cookbook,tutorials/orchestration/basic-concepts.md,,
missing_in_cookbook,tutorials/orchestration/composer.md,,
missing_in_cookbook,tutorials/orchestration/migration-guide/gllm-pipeline-v0.4-to-v0.5.md,,
missing_in_cookbook,tutorials/orchestration/observability-and-debugging.md,,
missing_in_cookbook,tutorials/orchestration/pipelines-and-agents.md,,
missing_in_cookbook,tutorials/orchestration/routing.md,,
missing_in_cookbook,tutorials/orchestration/routing/classifier-router.md,,
missing_in_cookbook,tutorials/orchestration/routing/lm-based-router.md,,
missing_in_cookbook,tutorials/orchestration/routing/rule-based-router.md,,
missing_in_cookbook,tutorials/orchestration/routing/semantic-router/aurelio-backend.md,,
missing_in_cookbook,tutorials/orchestration/routing/similarity-based-router.md,,
missing_in_cookbook,tutorials/orchestration/state.md,,
missing_in_cookbook,tutorials/orchestration/steps/error-handling.md,,
missing_in_cookbook,tutorials/orchestration/steps/input-mapping.md,,
